year,country_index,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1965,Japan,0.005988621013160471,0.001766012026941319,0.07632706443520039,-0.02124384860924583,0.03206953293432913,0.03811795645773946,-0.013875255832663325,-0.021227427771502317
1966,Japan,0.011616758089703258,-0.0020477495474283663,0.07725970441116328,-0.024378428109509964,0.02745861305217019,0.046476143206886235,-0.004051471175234875,-0.023771897782882245
1967,Japan,0.026055099465138915,-0.0044138176106852545,0.0858437666913466,-0.025737835307388497,0.0441782872371626,0.05150838452037931,-0.008562349962902126,-0.02607044031499354
1968,Japan,0.044359974460716475,-0.009374929802312103,0.09115663885255502,-0.029716494226104742,0.05857683628182833,0.0681159468160232,-0.03417270038033896,-0.0337319639153913
1969,Japan,0.0595578853711762,-0.01571880363682707,0.09910689268241467,-0.03380984433914859,0.06653025125633796,0.08022318020329325,-0.029235647119914155,-0.04212778327321337
1970,Japan,0.07939304716676991,-0.021361175452088377,0.1031529397644696,-0.039329371381035046,0.07644583595439833,0.09923679694324217,-0.04279477878614625,-0.04666116907693926
1971,Japan,0.10610421399186722,-0.034932956620591434,0.10916934114124768,-0.04613819992418839,0.0912166371073934,0.1106509302472511,-0.07901456685952403,-0.0683922675914706
1972,Japan,0.11069144052972851,-0.04460546975461201,0.10870302960897649,-0.05319913752066145,0.06500067895527664,0.1284260771388027,-0.019397784680303412,-0.07291683337918241
1973,Japan,0.13146083585010515,-0.04990522777947904,0.11856459187791031,-0.056508433865066855,0.08472611553282819,0.14267106107107272,-0.026613354463878774,-0.07561102168095048
1974,Japan,0.14179199368201015,-0.05085275692971844,0.1252797935691393,-0.05692705026360505,0.09752919008984887,0.1481647455510704,-0.029901590494122218,-0.06687466221819208
1975,Japan,0.13295656677185408,-0.05880133339845873,0.11438680399792174,-0.06293691744056652,0.05226026785430699,0.14443145261526064,0.02085963929059903,-0.0690123475726513
1976,Japan,0.1304753988518982,-0.06228557463167623,0.1097871294117741,-0.06410743094881038,0.03328543438538443,0.14060051223823014,0.042338954029245375,-0.07105125387966113
1977,Japan,0.15055083382654302,-0.06283174361138666,0.1230446169920847,-0.06270392382838268,0.07451305771174747,0.15148829957714743,-0.022351160970810087,-0.07819869918991955
1978,Japan,0.16278915440095415,-0.06773183564158816,0.12622950095100344,-0.06622552982618789,0.07564898744730991,0.15793730738736494,-0.011256604622029232,-0.07787828357585927
1979,Japan,0.1680095273040288,-0.06914584604154271,0.1309046735176345,-0.064781517175824,0.07476426060606008,0.16298068229309381,-0.0024447378952670374,-0.0733449275553815
1980,Japan,0.18226097046200726,-0.07628921614238861,0.13232591795048135,-0.07010675028195695,0.08189881217556222,0.16554173370838812,-0.024886651319099784,-0.08106328000822298
1981,Japan,0.1757881965748812,-0.07442453840896616,0.13192813022442076,-0.07041529349092215,0.06249991762705329,0.15949326833815175,0.03533787851145612,-0.0604120511973007
1982,Japan,0.1710736999539801,-0.07118264451303882,0.13199481971158747,-0.06990221013319751,0.05666137385141008,0.15696180605871107,0.061736919963711036,-0.058572737635622374
1983,Japan,0.17295994741694645,-0.07194608523846771,0.1283822651712193,-0.07028417926409836,0.052113004922635334,0.15307638979847976,0.05263699257713182,-0.06296980986450883
1984,Japan,0.17925640138203608,-0.07301010927534206,0.13349526762287578,-0.06887284589757584,0.0632933393393356,0.15533268891650426,0.028982150408541626,-0.06966827623850476
1985,Japan,0.20233839164760758,-0.08258517645394396,0.13333700189340295,-0.07199635239010278,0.07651798784742489,0.1503207915657313,-0.052438776739752835,-0.06999485686139484
1986,Japan,0.1915511437786476,-0.08125564614589657,0.1312181487957644,-0.0745900351488756,0.046964570672201555,0.15107302697370106,0.04980528866733207,-0.060569619165232395
1987,Japan,0.20222327414787572,-0.08312487398982496,0.13592767927910543,-0.07609293159211084,0.06098170094371512,0.1603256579137801,0.016112855064389586,-0.07126365783118264
1988,Japan,0.21129002265422023,-0.08331716461584002,0.14021090371338668,-0.07826962897359784,0.06460086649926199,0.16759703936167833,0.04276513257318565,-0.06770317979374264
1989,Japan,0.23597278073746272,-0.0860180874304266,0.15332345983566145,-0.07926686572625308,0.10448799936487507,0.1791198025431536,-0.015207521791147784,-0.07503000037537388
1990,Japan,0.2496469519363306,-0.09681367168832594,0.15110019759366902,-0.08630067461981404,0.09043738008041656,0.18750489240439372,-0.004924744998526421,-0.08414152952145314
1991,Japan,0.28330914004209706,-0.11187819852570544,0.15627270748558966,-0.08789865313388662,0.11742530329754026,0.19043070410969334,-0.11203433339967699,-0.09037582193268807
1992,Japan,0.28034868354106895,-0.11468236996663764,0.15367824805595606,-0.094292811852227,0.08552430321571503,0.19658638279707238,0.008966030886428175,-0.08006797842149022
1993,Japan,0.28159730058492544,-0.11526812890000758,0.154693234180001,-0.09613996002988326,0.08361644107094465,0.2029125559858059,0.029689478122906784,-0.08038478010722204
1994,Japan,0.2822316306106157,-0.11760765848869346,0.15180527429044471,-0.09823091972882983,0.07245545594602501,0.19732621494359057,0.048249315820230156,-0.07562774414865651
1995,Japan,0.30185065763987345,-0.12199665869019122,0.15643597968437425,-0.09975706433270864,0.09615134499749198,0.2076060879384304,-0.013443524933018723,-0.08482059448007544
1996,Japan,0.3069887179408014,-0.1279519771835187,0.15531437086369176,-0.10045571900124647,0.08307198637169291,0.20699814004922723,0.031539049322988615,-0.08300056178427807
1997,Japan,0.31123774974375645,-0.1297334633578752,0.1569332546731097,-0.10042735793440846,0.08498953283525564,0.20818864569610845,0.027603344915640905,-0.08057157582284084
1998,Japan,0.30774810314836243,-0.13360730644883642,0.1492693133344592,-0.10344297624662432,0.0646124919264637,0.19934997374682523,0.04648731484616749,-0.07881828066684214
