year,country_index,population_lag_1,gdp_lag_1,temperature_change_from_co2_lag_1,cement_co2_lag_1,coal_co2_lag_1,flaring_co2_lag_1,gas_co2_lag_1,land_use_change_co2_lag_1,oil_co2_lag_1,co2_including_luc
1948,Australia,7761534.0,10370.82603103974,3.865215304088084e-10,5.707634599036737e-08,4.84066680632978e-06,0.0,0.0,9.454316633799453e-07,8.713483700515903e-07,6.844511806633887e-06
1949,Australia,7887049.0,10862.75405871068,3.803704021618225e-10,6.453617823345589e-08,4.8067407721189515e-06,0.0,0.0,8.837272343559676e-07,1.0893808317914597e-06,6.816697051289767e-06
1950,Australia,8025441.0,11382.999103974473,4.984149780678719e-10,6.616458833851e-08,4.624792581491783e-06,0.0,0.0,8.277426748262182e-07,1.2979972066332553e-06,2.204222512705803e-05
1951,Australia,8177169.0,11945.282034894963,4.89166849798506e-10,7.728836226816396e-08,5.38951805936749e-06,0.0,0.0,1.522592965854075e-05,1.3494890468816286e-06,2.8782745887212055e-05
1952,Australia,8419836.0,12094.990969420307,4.750686355411199e-10,7.256673407890605e-08,5.47480972313475e-06,0.0,0.0,2.152345960182597e-05,1.7119098281724251e-06,3.276947545347449e-05
1953,Australia,8632790.0,11904.018059514943,4.633496239338615e-10,7.784273682088873e-08,5.447485691184426e-06,0.0,0.0,2.5535776962025023e-05,1.7082542260381637e-06,3.606453356174504e-05
1954,Australia,8819163.0,12015.578537781874,4.535577809368077e-10,8.946427228978533e-08,5.468999722536027e-06,0.0,0.0,2.8916916491961877e-05,1.5891530749573401e-06,3.868287453445179e-05
1955,Australia,9003364.0,12502.66303128475,4.442783830577104e-10,1.0496076799738409e-07,5.679543779414005e-06,0.0,0.0,3.113658405902505e-05,1.761896997611115e-06,4.053923171771422e-05
1956,Australia,9209844.0,12888.418838799007,4.343178885548984e-10,1.0695078005664374e-07,5.564480788165359e-06,0.0,0.0,3.2724984266834486e-05,2.1428158826577303e-06,4.202959381569593e-05
1957,Australia,9429808.0,13021.032131301083,4.241867915020115e-10,1.1219740635228205e-07,5.434363032630145e-06,0.0,0.0,3.4024870919959345e-05,2.4581624567541564e-06,4.3673755908998055e-05
